[01:26:14] New map: gm_flatgrass
[02:11:23] haveaniceday.<STEAM_0:0:136760122> spawned ragdoll models/humans/charple01.mdl
[02:11:23] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_phx/construct/wood/wood_boardx1.mdl
[02:23:23] haveaniceday. suicided!
[02:23:23] haveaniceday. killed RusLanConnection using gmod_dynamite
[02:24:30] RusLanConnection killed haveaniceday. using tacrp_knife
[02:25:08] RusLanConnection killed haveaniceday. using tacrp_knife
[02:25:29] haveaniceday. suicided!
[02:25:37] RusLanConnection killed haveaniceday. using tacrp_knife
[02:26:01] RusLanConnection killed haveaniceday. using tacrp_knife
[02:26:48] haveaniceday. killed RusLanConnection using player
[02:27:02] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_junk/wood_crate002a.mdl
[02:27:12] RusLanConnection killed haveaniceday. using tacrp_proj_rpg7
[02:27:21] haveaniceday.<STEAM_0:0:136760122> spawned sent tacrp_ammo_crate
[02:29:07] haveaniceday. killed RusLanConnection using player
[02:30:06] RusLanConnection killed haveaniceday. using tacrp_xd45
[02:32:02] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_vehicles/carparts_muffler01a.mdl
[02:32:02] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_building_details/courtyard_template001c_bars.mdl
[02:32:02] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_building_details/courtyard_template001c_bars.mdl
[02:32:02] haveaniceday.<STEAM_0:0:136760122> spawned vehicle models/buggy.mdl
[02:32:02] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_building_details/courtyard_template001c_bars.mdl
[02:32:02] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_lab/huladoll.mdl
[02:32:02] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_vehicles/carparts_wheel01a.mdl
[02:32:02] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_lab/reciever01b.mdl
[02:32:02] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_junk/plasticcrate01a.mdl
[02:32:02] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_building_details/courtyard_template001c_bars.mdl
[02:32:02] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_vehicles/car005a_physics.mdl
[02:32:04] haveaniceday.<STEAM_0:0:136760122> spawned vehicle models/buggy.mdl
[02:32:04] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_vehicles/car004a_physics.mdl
[02:32:53] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_phx/construct/wood/wood_boardx1.mdl
[02:32:53] haveaniceday.<STEAM_0:0:136760122> spawned model models/hunter/plates/plate1x1.mdl
[02:32:53] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_phx/construct/wood/wood_boardx1.mdl
[02:32:53] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_phx/construct/wood/wood_boardx1.mdl
[02:32:53] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_phx/construct/wood/wood_boardx1.mdl
