[19:16:15] New map: gm_sro
[19:46:57] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_eznukerocket
[19:47:01] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_eztnt
[19:47:34] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_eznukerocket
[19:48:21] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:48:22] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:48:23] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:48:49] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezwood
[19:48:49] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezwood
[19:48:54] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezbasicparts
[19:48:54] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezbasicparts
[19:48:59] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezbattery
[19:49:04] RusLanConnection killed RusLanConnection
[19:49:04] RusLanConnection killed Redoket
[19:49:33] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_c17/gravestone002a.mdl
[19:49:33] RusLanConnection<STEAM_0:0:238810681> spawned model models/jmod_scrounge/glassjug01_jmod.mdl
[19:49:33] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_junk/propane_tank001a.mdl
[19:49:33] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_junk/garbage_plasticbottle003a.mdl
[19:49:33] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_junk/plasticcrate01a.mdl
[19:49:33] RusLanConnection<STEAM_0:0:238810681> spawned vehicle models/vehicles/prisoner_pod_inner.mdl
[19:49:33] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/sofa.mdl
[19:49:41] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:49:43] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:49:45] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:49:46] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:49:47] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:49:53] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:49:56] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:50:29] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_eztimebomb
[19:51:07] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_eztoolbox
[19:52:04] RusLanConnection brought Redoket
[19:52:54] RusLanConnection killed Redoket using ent_jack_gmod_ezfalloutparticle
[19:54:36] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:54:38] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:54:53] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezweapon_revolver
[19:55:05] Redoket<STEAM_0:1:545449619> spawned sent item_healthkit
[19:55:05] Redoket<STEAM_0:1:545449619> spawned sent item_healthkit
[19:55:45] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:55:45] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezifakpacket
[19:55:47] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezifakpacket
[19:55:47] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:55:47] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:55:48] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezifakpacket
[19:55:49] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:55:51] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:55:52] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:55:52] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezifakpacket
[19:55:53] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezifakpacket
[19:55:53] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezifakpacket
[19:56:46] RusLanConnection set the hp for Everyone to 100
[19:59:14] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
